Region,Open Irrigated N,Open Irrigated P,Open Irrigated K,Hybrid N,Hybrid P,Hybrid K,Zinc,Boron,Organic Manure (ton/ha)
"Eastern Terai (Jhapa, Morang, Sunsari)",130,60,40,180,60,60,2,1.5,10
Central Terai (Parsa to Saptari),120,60,40,150,60,60,2,1.5,10
"Western Terai (Rupandehi, Kapilvastu, Nawalparasi West)",120,60,40,180,60,60,2,1.5,10
Far-Western Terai (Banke to Kanchanpur),120,60,40,150,60,60,2,1.5,10
"Inner Terai (Dang, Surkhet, Chitwan, Makwanpur, Nawalparasi West)",130,60,40,180,60,60,2,1.5,10
Hilly Region,120,60,40,150,60,60,2,1.5,10
